wavelength	AM1.5G	GaInAs	AZO	reflected	transmitted
1.292E-06	396180000	0.8174174732011772	0.05870320054399	0.11335646701590575	0.010522859238927009
1.293E-06	412570000	0.8224558207326095	0.05895151541437975	0.10800187481453458	0.010590789038476172
1.294E-06	404210000	0.827384906797373	0.05921524837059413	0.10269374862259563	0.01070609620943713
1.295E-06	405140000	0.8322988941997694	0.05949473060720159	0.09743549326613539	0.01077088192689357
1.296E-06	389570000	0.8371120766216328	0.05978789565144629	0.09226355430444716	0.010836473422473847
1.297E-06	371300000	0.8418304501688159	0.06009523165253915	0.0871733976101427	0.010900920568502413
1.298E-06	391830000	0.8463961083056482	0.06041626508632956	0.08217430090600608	0.011013325702016113
1.299E-06	408520000	0.8509077129617086	0.0607516234681188	0.07726722102150137	0.011073442548671174
1.3E-06	353120000	0.8552779551927748	0.06109861023155587	0.07248957155606757	0.011133863019601759
1.301E-06	362280000	0.8594614732002713	0.0614575785597036	0.0678383695467765	0.011242578693248588
1.302E-06	391810000	0.8635465257789886	0.06182817422856934	0.063325637223329	0.011299662769113036
1.303E-06	346210000	0.8674865522111364	0.062210903575796735	0.05894977688628241	0.011352767326784604
1.304E-06	300620000	0.871192131598078	0.06260230725307157	0.054749196132027035	0.011456365016823416
1.305E-06	383820000	0.8747696438567968	0.06300341682509328	0.05071977971285386	0.011507159605255994
1.306E-06	384530000	0.8781574726468426	0.06341323187028076	0.046873804603002465	0.011555490879874111
1.307E-06	305940000	0.8813027338302928	0.06383189530836342	0.043214861223820504	0.011650509637523258
1.308E-06	346960000	0.8842798311196745	0.06425667948322825	0.03976982452920403	0.011693664867893179
1.309E-06	384130000	0.8870376100473562	0.06468768836839875	0.03654077055470248	0.011733931029542585
1.31E-06	301140000	0.8895113025114049	0.06512343155670657	0.03354226173232329	0.01182300419956527
1.311E-06	333660000	0.891811341791353	0.06556561670650438	0.03076788993151504	0.01185515157062757
1.312E-06	333370000	0.8938563000492473	0.06600984378088343	0.028247747385732203	0.011886108784136982
1.313E-06	313520000	0.8959249457502032	0.06651374591850095	0.0252897297420948	0.012271578589201089
1.314E-06	288330000	0.8975935381326586	0.06697584889499848	0.023132404560678	0.012298208411664764
1.315E-06	285810000	0.8989890483222077	0.0674388161430772	0.021251070546074974	0.012321064988640072
1.316E-06	324190000	0.9000515922106619	0.06790219629991956	0.019654588726051792	0.012391622763366684
1.317E-06	312170000	0.9008810562080902	0.06836374490180616	0.018348499958933354	0.012406698931170251
1.318E-06	333280000	0.9014200753211962	0.06882305507017748	0.01733914939196379	0.012417720216662495
1.319E-06	268550000	0.9016048993957594	0.06927793806436004	0.01663861893753627	0.012478543602344166
1.32E-06	258720000	0.9015532147697877	0.06973117741062451	0.016236623630967194	0.012478984188620533
1.321E-06	298660000	0.9011976035470921	0.07017754094674243	0.01614739229910309	0.012477463207062448
1.322E-06	302170000	0.900479814797322	0.07061627012356973	0.016378364386212315	0.012525550692895944
1.323E-06	232790000	0.899518238762964	0.07104897991169387	0.016917362745207328	0.012515418580134824
1.324E-06	262490000	0.8982523268604662	0.07147496381287965	0.017774077284451018	0.012498632042203013
1.325E-06	322240000	0.8966246740340753	0.07188878250020003	0.018953009473258176	0.012533533992466494
1.326E-06	280510000	0.8947557545434045	0.07229398530168628	0.020439896139306402	0.01251036401560285
1.327E-06	266250000	0.8925887429091706	0.0726882964438243	0.022240052321936946	0.012482908325068303
